CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households
30210,E01011264,Leeds 011A,Lower Super Output Areas and Data Zones,LSOADZ,565,116,267,141,31,10
30211,E01011265,Leeds 009A,Lower Super Output Areas and Data Zones,LSOADZ,748,202,363,147,23,13
30212,E01011266,Leeds 008A,Lower Super Output Areas and Data Zones,LSOADZ,893,62,405,349,63,14
30213,E01011267,Leeds 009B,Lower Super Output Areas and Data Zones,LSOADZ,666,194,307,135,24,6
30214,E01011268,Leeds 010A,Lower Super Output Areas and Data Zones,LSOADZ,615,215,265,116,16,3
30215,E01011269,Leeds 011B,Lower Super Output Areas and Data Zones,LSOADZ,735,193,332,180,21,9
30216,E01011270,Leeds 008B,Lower Super Output Areas and Data Zones,LSOADZ,649,21,215,330,65,18
30217,E01011271,Leeds 009C,Lower Super Output Areas and Data Zones,LSOADZ,903,113,417,321,43,9
30218,E01011272,Leeds 009D,Lower Super Output Areas and Data Zones,LSOADZ,571,52,221,246,44,8
30219,E01011273,Leeds 010B,Lower Super Output Areas and Data Zones,LSOADZ,700,132,348,182,30,8
30220,E01011274,Leeds 010C,Lower Super Output Areas and Data Zones,LSOADZ,680,260,300,105,13,2
30221,E01011275,Leeds 010D,Lower Super Output Areas and Data Zones,LSOADZ,602,132,283,153,22,12
30222,E01011276,Leeds 011C,Lower Super Output Areas and Data Zones,LSOADZ,611,108,270,186,31,16
30223,E01011277,Leeds 014A,Lower Super Output Areas and Data Zones,LSOADZ,607,60,265,242,26,14
30224,E01011278,Leeds 014B,Lower Super Output Areas and Data Zones,LSOADZ,716,91,347,225,38,15
30225,E01011279,Leeds 008C,Lower Super Output Areas and Data Zones,LSOADZ,573,107,262,167,29,8
30226,E01011280,Leeds 008D,Lower Super Output Areas and Data Zones,LSOADZ,715,69,330,252,46,18
30227,E01011281,Leeds 059A,Lower Super Output Areas and Data Zones,LSOADZ,824,265,396,138,15,10
30228,E01011282,Leeds 059B,Lower Super Output Areas and Data Zones,LSOADZ,610,289,230,74,14,3
30229,E01011283,Leeds 059C,Lower Super Output Areas and Data Zones,LSOADZ,538,243,211,70,12,2
30230,E01011284,Leeds 071A,Lower Super Output Areas and Data Zones,LSOADZ,878,441,361,61,12,3
30231,E01011286,Leeds 059D,Lower Super Output Areas and Data Zones,LSOADZ,538,111,265,130,27,5
