CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F357354
115562,E00056750,E00056750,Output Areas and Small Areas,OASA,141
115563,E00056751,E00056751,Output Areas and Small Areas,OASA,110
115564,E00056752,E00056752,Output Areas and Small Areas,OASA,200
115565,E00056753,E00056753,Output Areas and Small Areas,OASA,141
115566,E00056754,E00056754,Output Areas and Small Areas,OASA,131
115567,E00056755,E00056755,Output Areas and Small Areas,OASA,150
115568,E00056756,E00056756,Output Areas and Small Areas,OASA,126
115569,E00056757,E00056757,Output Areas and Small Areas,OASA,120
115570,E00056758,E00056758,Output Areas and Small Areas,OASA,131
115571,E00056759,E00056759,Output Areas and Small Areas,OASA,104
115572,E00056760,E00056760,Output Areas and Small Areas,OASA,115
115573,E00056761,E00056761,Output Areas and Small Areas,OASA,119
115574,E00056762,E00056762,Output Areas and Small Areas,OASA,184
115575,E00056763,E00056763,Output Areas and Small Areas,OASA,138
115576,E00056764,E00056764,Output Areas and Small Areas,OASA,139
115577,E00056765,E00056765,Output Areas and Small Areas,OASA,156
115578,E00056766,E00056766,Output Areas and Small Areas,OASA,153
115579,E00056767,E00056767,Output Areas and Small Areas,OASA,119
115580,E00056768,E00056768,Output Areas and Small Areas,OASA,123
115581,E00056769,E00056769,Output Areas and Small Areas,OASA,120
115582,E00056770,E00056770,Output Areas and Small Areas,OASA,126
115583,E00056771,E00056771,Output Areas and Small Areas,OASA,131
115584,E00056772,E00056772,Output Areas and Small Areas,OASA,151
115585,E00056773,E00056773,Output Areas and Small Areas,OASA,123
115586,E00056774,E00056774,Output Areas and Small Areas,OASA,98
115587,E00056775,E00056775,Output Areas and Small Areas,OASA,119
115588,E00056776,E00056776,Output Areas and Small Areas,OASA,141
115589,E00056777,E00056777,Output Areas and Small Areas,OASA,123
115590,E00056778,E00056778,Output Areas and Small Areas,OASA,42
115591,E00056779,E00056779,Output Areas and Small Areas,OASA,138
115592,E00056780,E00056780,Output Areas and Small Areas,OASA,76
115593,E00056781,E00056781,Output Areas and Small Areas,OASA,129
115594,E00056782,E00056782,Output Areas and Small Areas,OASA,134
115595,E00056783,E00056783,Output Areas and Small Areas,OASA,117
115596,E00056784,E00056784,Output Areas and Small Areas,OASA,116
115597,E00056786,E00056786,Output Areas and Small Areas,OASA,150
115598,E00056787,E00056787,Output Areas and Small Areas,OASA,90
115599,E00056788,E00056788,Output Areas and Small Areas,OASA,109
115600,E00056789,E00056789,Output Areas and Small Areas,OASA,164
115601,E00056790,E00056790,Output Areas and Small Areas,OASA,183
115602,E00056792,E00056792,Output Areas and Small Areas,OASA,127
115603,E00056793,E00056793,Output Areas and Small Areas,OASA,122
115604,E00056794,E00056794,Output Areas and Small Areas,OASA,112
115605,E00056795,E00056795,Output Areas and Small Areas,OASA,138
115606,E00056796,E00056796,Output Areas and Small Areas,OASA,117
115607,E00056797,E00056797,Output Areas and Small Areas,OASA,112
115608,E00056798,E00056798,Output Areas and Small Areas,OASA,108
115609,E00056799,E00056799,Output Areas and Small Areas,OASA,118
115610,E00056800,E00056800,Output Areas and Small Areas,OASA,100
115611,E00056801,E00056801,Output Areas and Small Areas,OASA,108
115612,E00056802,E00056802,Output Areas and Small Areas,OASA,122
115613,E00056803,E00056803,Output Areas and Small Areas,OASA,115
115614,E00056804,E00056804,Output Areas and Small Areas,OASA,114
115615,E00056805,E00056805,Output Areas and Small Areas,OASA,132
