CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F989,F991,F992,F993,F994,F995,
,,,,,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households,
115562,E00056750,E00056750,Output Areas and Small Areas,OASA,141,35,67,29,8,2,
115563,E00056751,E00056751,Output Areas and Small Areas,OASA,110,14,40,48,7,1,
115564,E00056752,E00056752,Output Areas and Small Areas,OASA,200,31,100,61,5,3,
115565,E00056753,E00056753,Output Areas and Small Areas,OASA,141,66,66,9,0,0,
115566,E00056754,E00056754,Output Areas and Small Areas,OASA,131,28,69,31,2,1,
115567,E00056755,E00056755,Output Areas and Small Areas,OASA,150,28,71,46,4,1,
115568,E00056756,E00056756,Output Areas and Small Areas,OASA,126,36,57,28,5,0,
115569,E00056757,E00056757,Output Areas and Small Areas,OASA,120,14,54,39,10,3,
115570,E00056758,E00056758,Output Areas and Small Areas,OASA,131,13,54,56,6,2,
115571,E00056759,E00056759,Output Areas and Small Areas,OASA,104,5,50,41,5,3,
115572,E00056760,E00056760,Output Areas and Small Areas,OASA,115,20,51,38,5,1,
115573,E00056761,E00056761,Output Areas and Small Areas,OASA,119,14,62,38,5,0,
115574,E00056762,E00056762,Output Areas and Small Areas,OASA,184,12,87,71,10,4,
115575,E00056763,E00056763,Output Areas and Small Areas,OASA,138,11,57,64,4,2,
115576,E00056764,E00056764,Output Areas and Small Areas,OASA,139,5,41,73,17,3,
115577,E00056765,E00056765,Output Areas and Small Areas,OASA,156,17,77,48,12,2,
115578,E00056766,E00056766,Output Areas and Small Areas,OASA,153,58,68,23,4,0,
115579,E00056767,E00056767,Output Areas and Small Areas,OASA,119,14,62,33,8,2,
115580,E00056768,E00056768,Output Areas and Small Areas,OASA,123,28,69,23,3,0,
115581,E00056769,E00056769,Output Areas and Small Areas,OASA,120,42,55,22,1,0,
115582,E00056770,E00056770,Output Areas and Small Areas,OASA,126,20,53,42,8,3,
115583,E00056771,E00056771,Output Areas and Small Areas,OASA,131,30,59,35,6,1,
115584,E00056772,E00056772,Output Areas and Small Areas,OASA,151,12,72,53,10,4,
115585,E00056773,E00056773,Output Areas and Small Areas,OASA,123,14,53,44,8,4,
115586,E00056774,E00056774,Output Areas and Small Areas,OASA,98,2,65,23,5,3,
