CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Dependent children : With dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households,Dependent children : No dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households
30210,E01011264,Leeds 011A,Lower Super Output Areas and Data Zones,LSOADZ,29,134
30211,E01011265,Leeds 009A,Lower Super Output Areas and Data Zones,LSOADZ,28,169
30212,E01011266,Leeds 008A,Lower Super Output Areas and Data Zones,LSOADZ,29,81
30213,E01011267,Leeds 009B,Lower Super Output Areas and Data Zones,LSOADZ,28,191
30214,E01011268,Leeds 010A,Lower Super Output Areas and Data Zones,LSOADZ,38,150
30215,E01011269,Leeds 011B,Lower Super Output Areas and Data Zones,LSOADZ,23,199
30216,E01011270,Leeds 008B,Lower Super Output Areas and Data Zones,LSOADZ,20,114
30217,E01011271,Leeds 009C,Lower Super Output Areas and Data Zones,LSOADZ,37,133
30218,E01011272,Leeds 009D,Lower Super Output Areas and Data Zones,LSOADZ,23,77
30219,E01011273,Leeds 010B,Lower Super Output Areas and Data Zones,LSOADZ,22,128
30220,E01011274,Leeds 010C,Lower Super Output Areas and Data Zones,LSOADZ,41,186
30221,E01011275,Leeds 010D,Lower Super Output Areas and Data Zones,LSOADZ,30,146
30222,E01011276,Leeds 011C,Lower Super Output Areas and Data Zones,LSOADZ,26,99
30223,E01011277,Leeds 014A,Lower Super Output Areas and Data Zones,LSOADZ,21,73
30224,E01011278,Leeds 014B,Lower Super Output Areas and Data Zones,LSOADZ,24,123
30225,E01011279,Leeds 008C,Lower Super Output Areas and Data Zones,LSOADZ,21,115
30226,E01011280,Leeds 008D,Lower Super Output Areas and Data Zones,LSOADZ,31,115
30227,E01011281,Leeds 059A,Lower Super Output Areas and Data Zones,LSOADZ,33,156
30228,E01011282,Leeds 059B,Lower Super Output Areas and Data Zones,LSOADZ,31,147
30229,E01011283,Leeds 059C,Lower Super Output Areas and Data Zones,LSOADZ,45,131
30230,E01011284,Leeds 071A,Lower Super Output Areas and Data Zones,LSOADZ,33,149
30231,E01011286,Leeds 059D,Lower Super Output Areas and Data Zones,LSOADZ,20,95
30232,E01011287,Leeds 067B,Lower Super Output Areas and Data Zones,LSOADZ,18,113
30233,E01011292,Leeds 071B,Lower Super Output Areas and Data Zones,LSOADZ,24,221
30234,E01011293,Leeds 071C,Lower Super Output Areas and Data Zones,LSOADZ,43,161
30235,E01011294,Leeds 071D,Lower Super Output Areas and Data Zones,LSOADZ,31,120
30236,E01011295,Leeds 059E,Lower Super Output Areas and Data Zones,LSOADZ,23,135
30237,E01011296,Leeds 030A,Lower Super Output Areas and Data Zones,LSOADZ,26,186
30238,E01011297,Leeds 030B,Lower Super Output Areas and Data Zones,LSOADZ,27,98
30239,E01011298,Leeds 088A,Lower Super Output Areas and Data Zones,LSOADZ,32,149
30240,E01011299,Leeds 088B,Lower Super Output Areas and Data Zones,LSOADZ,38,180
30241,E01011300,Leeds 089A,Lower Super Output Areas and Data Zones,LSOADZ,38,126
30242,E01011301,Leeds 089B,Lower Super Output Areas and Data Zones,LSOADZ,23,98
30243,E01011302,Leeds 088C,Lower Super Output Areas and Data Zones,LSOADZ,14,135
30244,E01011303,Leeds 088D,Lower Super Output Areas and Data Zones,LSOADZ,16,114
30245,E01011304,Leeds 089C,Lower Super Output Areas and Data Zones,LSOADZ,40,188
30246,E01011305,Leeds 089D,Lower Super Output Areas and Data Zones,LSOADZ,30,121
30247,E01011306,Leeds 089E,Lower Super Output Areas and Data Zones,LSOADZ,28,93
30248,E01011307,Leeds 103A,Lower Super Output Areas and Data Zones,LSOADZ,29,142
30249,E01011308,Leeds 103B,Lower Super Output Areas and Data Zones,LSOADZ,21,161
30250,E01011309,Leeds 030C,Lower Super Output Areas and Data Zones,LSOADZ,29,119
30251,E01011310,Leeds 030D,Lower Super Output Areas and Data Zones,LSOADZ,22,143
30252,E01011311,Leeds 022A,Lower Super Output Areas and Data Zones,LSOADZ,14,60
